mol_id,smiles,mw,logp,hbd,hba,rtb,tpsa,has_pains,passed_lipinski,is_valid,passed_filter
CHEMBL15413_div,CO[C@@]1(NC(=O)CSC(F)F)C(=O)N2C(C(=O)O)=C(CSc3nnnn3CCO)CO[C@@H]21,496.47,-1.29,3,11,11,169.0,False,False,True,False
CHEMBL154_div,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,230.26,3.04,1,2,3,46.53,False,True,True,True
CHEMBL15562_div,c1cncnc1,80.09,0.48,0,2,0,25.78,False,True,True,True
CHEMBL15677_div,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,297.14,4.41,1,2,4,46.53,False,True,True,True
CHEMBL15768_div,CC12CCC(CC1=O)C2(C)C,152.24,2.4,0,1,0,17.07,False,True,True,True
CHEMBL15770_div,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,356.42,4.37,1,2,4,60.36,False,True,True,True
CHEMBL15797_div,c1cnccn1,80.09,0.48,0,2,0,25.78,False,True,True,True
CHEMBL15870_div,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,281.31,3.04,1,2,3,57.61,False,True,True,True
CHEMBL15891_div,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,290.83,3.64,0,0,0,0.0,False,True,True,True
CHEMBL158_div,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,435.44,-1.17,4,10,7,201.58,False,True,True,True
CHEMBL159_div,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,810.99,3.99,3,12,7,154.1,False,False,True,False
CHEMBL16073_div,CCOc1ccc(NC(C)=O)cc1,179.22,2.04,1,2,3,38.33,False,True,True,True
CHEMBL16080_div,CC(Cl)(Cl)Cl,133.41,2.38,0,0,0,0.0,False,True,True,True
CHEMBL1612963,Cc1nc2cc(-c3ccccc3)ccc2o1,209.25,3.8,0,2,1,26.03,False,True,True,True
CHEMBL161_div,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,554.59,-1.2,4,14,8,215.22,False,False,True,False
CHEMBL16225_div,c1cc[nH]c1,67.09,1.01,1,0,0,15.79,False,True,True,True
CHEMBL163_div,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,720.96,5.91,4,9,17,145.78,False,False,True,False
CHEMBL16476_div,CC(C)NCC(O)c1ccc2ccccc2c1,229.32,2.87,2,2,4,32.26,False,True,True,True
CHEMBL16_div,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,252.27,1.77,2,2,2,58.2,False,True,True,True
CHEMBL17157_div,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,471.69,6.45,2,3,8,43.7,False,False,True,False
CHEMBL17860_div,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,259.14,2.76,1,3,3,33.62,False,True,True,True
CHEMBL17879_div,CCCCC1(CCCC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2ccc(OCc3ccc(C[N+]45CCN(CC4)CC5)cc3)cc2)[C@H]1O.[Cl-],710.43,3.63,1,6,13,70.08,False,False,True,False
CHEMBL17976_div,C=C(C)[C@]12C[C@@H](C)[C@@]34O[C@](Cc5ccccc5)(O[C@@H]1[C@@H]3C=C(COC(=O)Cc1ccc(O)c(OC)c1)C[C@]1(O)C(=O)C(C)=C[C@@H]41)O2,628.72,4.74,2,9,8,120.75,False,False,True,False
