mol_id,smiles,vina_score,status
CHEMBL4093109,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1C=O,-4.303,ok
CHEMBL39_div,NCCc1c[nH]c2ccc(O)cc12,-4.284,ok
CHEMBL408_div,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,-4.278,ok
CHEMBL27_div,CC(C)NCC(O)COc1cccc2ccccc12,-4.277,ok
CHEMBL279516_div,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,-4.272,ok
CHEMBL41_div,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,-4.271,ok
CHEMBL33_div,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-4.259,ok
CHEMBL35_div,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,-4.25,ok
CHEMBL15770_div,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,-4.231,ok
CHEMBL428676_div,CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,-4.222,ok
CHEMBL148_div,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,-4.208,ok
CHEMBL15870_div,CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,-4.204,ok
CHEMBL152_div,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1,-4.202,ok
CHEMBL276520_div,c1ccc2c(CCC3CCNCC3)c[nH]c2c1,-4.19,ok
CHEMBL13376_div,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,-4.188,ok
CHEMBL31_div,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-4.18,ok
CHEMBL279785_div,CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,-4.168,ok
CHEMBL135_div,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,-4.153,ok
CHEMBL21_div,Nc1ccc(S(N)(=O)=O)cc1,-4.127,ok
CHEMBL36715_div,NC(=O)CN1CCCC1=O,-4.124,ok
CHEMBL28218_div,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,-4.116,ok
CHEMBL416956_div,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,-4.112,ok
CHEMBL11662_div,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,-4.106,ok
CHEMBL277062_div,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,-4.106,ok
CHEMBL276711_div,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,-4.101,ok
CHEMBL298406_div,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21,-4.078,ok
CHEMBL268869_div,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,-4.072,ok
CHEMBL294199_div,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O,-4.061,ok
CHEMBL301265_div,CCCN[C@H]1CCc2nc(N)sc2C1,-4.058,ok
CHEMBL127_div,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,-4.055,ok
CHEMBL416146_div,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,-4.05,ok
CHEMBL16476_div,CC(C)NCC(O)c1ccc2ccccc2c1,-4.048,ok
CHEMBL22097_div,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,-4.048,ok
CHEMBL1411567,COc1ccc2nc(NCc3cccnc3)sc2c1,-4.039,ok
CHEMBL267744_div,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,-4.038,ok
CHEMBL22242_div,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,-4.038,ok
CHEMBL283800_div,CN(CC(=O)O)C(=N)N,-4.038,ok
CHEMBL32479_div,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2,-4.038,ok
CHEMBL121_div,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,-4.031,ok
CHEMBL4089730,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,-4.008,ok
CHEMBL154_div,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-4.002,ok
CHEMBL41355_div,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,-3.987,ok
CHEMBL278172_div,CCOC(=O)c1ccc(N)cc1,-3.976,ok
CHEMBL12856_div,Nc1cc(-c2ccncc2)c[nH]c1=O,-3.966,ok
CHEMBL38380_div,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,-3.96,ok
CHEMBL110_div,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,-3.96,ok
CHEMBL12610_div,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,-3.956,ok
CHEMBL15677_div,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,-3.955,ok
CHEMBL2392656,CC(c1ccc(O)cc1)c1ccc(O)cc1,-3.949,ok
CHEMBL17_div,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,-3.944,ok
CHEMBL112_div,CC(=O)Nc1ccc(O)cc1,-3.941,ok
CHEMBL284092_div,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,-3.94,ok
CHEMBL12_div,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-3.908,ok
CHEMBL13209_div,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,-3.902,ok
CHEMBL407_div,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,-3.897,ok
CHEMBL19393_div,C[C@@H](N)Cc1ccccc1,-3.882,ok
CHEMBL122_div,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,-3.882,ok
CHEMBL278819_div,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,-3.88,ok
